event.id,unix.timestamp,date,state_code,state,state.abbr,mun_code,municipality,detained,total.people.dead,military.dead,navy.dead,federal.police.dead,afi.dead,state.police.dead,ministerial.police.dead,municipal.police.dead,public.prosecutor.dead,organized.crime.dead,civilian.dead,total.people.wounded,military.wounded,navy.wounded,federal.police.wounded,afi.wounded,state.police.wounded,ministerial.police.wounded,municipal.police.wounded,public.prosecutor.wounded,organized.crime.wounded,civilian.wounded,long.guns.seized,small.arms.seized,cartridge.sezied,clips.seized,vehicles.seized,afi,army,federal.police,ministerial.police,municipal.police,navy,other,state.police,source,organized.crime.lethality,army.lethality,navy.lethality,federal.police.lethality,organized.crime.lethality.diff,army.lethality.diff,navy.lethality.diff,federal.police.lethality.diff,organized.crime.NewIndex,army.NewIndex,navy.NewIndex,federal.police.NewIndex,perfect.lethality,category,global.id
1.0,1168927210.0,2007-01-16,16.0,Michoacán de Ocampo,MICH,15.0,Coalcomán de Vázquez Pallares,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,confrontations,Inf,NaN,NaN,NaN,1.0,0.0,0.0,0.0,1.0,NaN,NaN,NaN,1.0,perfect.lethality,1
2.0,1169013610.0,2007-01-17,16.0,Michoacán de Ocampo,MICH,15.0,Coalcomán de Vázquez Pallares,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,confrontations,Inf,NaN,NaN,NaN,1.0,0.0,0.0,0.0,1.0,NaN,NaN,NaN,1.0,perfect.lethality,2
3.0,1170136810.0,2007-01-30,7.0,Chiapas,CHIS,65.0,Palenque,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,confrontations,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,no.dead.wounded,3
4.0,1170396010.0,2007-02-02,15.0,México,MEX,81.0,Tecámac,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,confrontations,NaN,NaN,0.0,NaN,0.0,0.0,-1.0,0.0,NaN,NaN,-1.0,NaN,0.0,no.dead.wounded,4
5.0,1170482410.0,2007-02-03,25.0,Sinaloa,SIN,6.0,Culiacán,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,confrontations,Inf,NaN,NaN,NaN,1.0,0.0,0.0,0.0,1.0,NaN,NaN,NaN,1.0,perfect.lethality,5
6.0,1170741610.0,2007-02-06,2.0,Baja California,BC,2.0,Mexicali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,confrontations,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,no.dead.wounded,6
7.0,1171519210.0,2007-02-15,19.0,Nuevo León,NL,33.0,Linares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,confrontations,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,no.dead.wounded,7
8.0,1171605610.0,2007-02-16,1.0,Aguascalientes,AGS,1.0,Aguascalientes,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,confrontations,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,no.dead.wounded,8
9.0,1172124010.0,2007-02-22,26.0,Sonora,SON,17.0,Caborca,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,confrontations,Inf,NaN,NaN,NaN,1.0,0.0,0.0,0.0,1.0,NaN,NaN,NaN,1.0,perfect.lethality,9
10.0,1172124010.0,2007-02-22,16.0,Michoacán de Ocampo,MICH,6.0,Apatzingán,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,confrontations,Inf,NaN,NaN,NaN,1.0,0.0,0.0,0.0,1.0,NaN,NaN,NaN,1.0,perfect.lethality,10
11.0,1172210410.0,2007-02-23,2.0,Baja California,BC,4.0,Tijuana,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,confrontations,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,no.dead.wounded,11
12.0,1172728810.0,2007-03-01,20.0,Oaxaca,OAX,43.0,Heroica Ciudad de Juchitán de Zaragoza,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,confrontations,Inf,NaN,NaN,NaN,1.0,0.0,0.0,0.0,1.0,NaN,NaN,NaN,1.0,perfect.lethality,12
13.0,1172901610.0,2007-03-03,19.0,Nuevo León,NL,11.0,Cerralvo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,confrontations,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,no.dead.wounded,13
14.0,1172988010.0,2007-03-04,30.0,Veracruz de Ignacio de la Llave,VER,193.0,Veracruz,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,confrontations,Inf,NaN,NaN,NaN,2.0,0.0,0.0,0.0,1.0,NaN,NaN,NaN,1.0,perfect.lethality,14
15.0,1173160810.0,2007-03-06,30.0,Veracruz de Ignacio de la Llave,VER,193.0,Veracruz,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,confrontations,0.4,NaN,NaN,NaN,-3.0,0.0,0.0,0.0,-0.42857142857142855,NaN,NaN,NaN,0.0,dead.wounded,15
16.0,1173592810.0,2007-03-11,20.0,Oaxaca,OAX,413.0,Santa María Huatulco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,confrontations,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,no.dead.wounded,16
17.0,1173852010.0,2007-03-14,10.0,Durango,DGO,7.0,Gómez Palacio,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,confrontations,Inf,NaN,NaN,NaN,2.0,0.0,0.0,0.0,1.0,NaN,NaN,NaN,1.0,perfect.lethality,17
18.0,1173938410.0,2007-03-15,25.0,Sinaloa,SIN,11.0,Guasave,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,confrontations,Inf,NaN,NaN,NaN,1.0,0.0,0.0,0.0,1.0,NaN,NaN,NaN,1.0,perfect.lethality,18
19.0,1174197610.0,2007-03-18,30.0,Veracruz de Ignacio de la Llave,VER,28.0,Boca del Río,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,confrontations,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,no.dead.wounded,19
