date,id,state.abbr,municipality,organized.crime.dead,organized.crime.wounded,organized.crime.dead.L1,organized.crime.wounded.L1,organized.crime.dead.L2,organized.crime.dead.L3,organized.crime.dead.L4,organized.crime.dead.L5,organized.crime.wounded.L2,organized.crime.wounded.L3,organized.crime.wounded.L4,organized.crime.wounded.L5
2007-01-01,1,GRO,Acapulco de Juárez,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-02-01,1,GRO,Acapulco de Juárez,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2007-04-01,1,0,Acapulco de Juárez,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA
2007-05-01,1,0,Acapulco de Juárez,0,0,0,0,0,0,NA,NA,0,0,NA,NA
2007-06-01,1,0,Acapulco de Juárez,0,0,0,0,0,0,0,NA,0,0,0,NA
2007-07-01,1,0,Acapulco de Juárez,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,1,0,Acapulco de Juárez,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,1,0,Acapulco de Juárez,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,1,0,Acapulco de Juárez,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,1,0,Acapulco de Juárez,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,1,GRO,Acapulco de Juárez,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,1,0,Acapulco de Juárez,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,1,0,Acapulco de Juárez,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,1,0,Acapulco de Juárez,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,1,0,Acapulco de Juárez,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,1,0,Acapulco de Juárez,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,1,0,Acapulco de Juárez,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,1,0,Acapulco de Juárez,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,1,0,Acapulco de Juárez,0,0,0,0,0,0,0,0,0,0,0,0
